iter	Logloss
127	0.546338219
128	0.5463070014
129	0.5462624853
130	0.5461672161
131	0.546106904
132	0.5460218697
133	0.545987281
134	0.5459219506
135	0.545863615
136	0.545818602
137	0.5457661093
138	0.5456950133
139	0.5456282521
140	0.5455875291
141	0.5455506692
142	0.5454871643
143	0.5454357739
144	0.5454000458
145	0.5453555501
146	0.5452794752
147	0.545248934
148	0.5451990751
149	0.5451446981
150	0.5451175465
151	0.5450661432
152	0.5450343467
153	0.5449621171
154	0.5449159373
155	0.5448456888
156	0.5448130557
157	0.5447096858
158	0.5446783536
159	0.54464703
160	0.5445980799
161	0.5445511471
162	0.5444944986
163	0.5444586764
164	0.5444335298
165	0.5443393957
166	0.5442808588
167	0.5442385644
168	0.5441719817
169	0.5441149952
170	0.5440871268
171	0.5440379938
172	0.5439917746
173	0.5439240111
174	0.5438655841
175	0.5438378763
176	0.5438042923
177	0.5437491749
178	0.5436716649
179	0.5436047658
180	0.5435592704
181	0.5435190745
182	0.5435006456
183	0.5434807165
184	0.5434387826
185	0.5433670889
186	0.5433316162
187	0.5432613455
188	0.5432217637
189	0.5431690261
190	0.5431279357
191	0.5430938056
192	0.5430592998
193	0.5430270078
194	0.5429841018
195	0.5429654686
196	0.5428823756
197	0.5428548039
198	0.5428172066
199	0.542748236
200	0.5426896143
201	0.5426606222
202	0.5425983543
203	0.542570923
204	0.5425508513
205	0.5424913598
206	0.5424526192
207	0.5424267111
208	0.5423690746
209	0.5423386911
210	0.5422964216
211	0.5422508724
212	0.5422043075
213	0.5421370904
214	0.5420744394
215	0.542042807
216	0.5420034913
217	0.5419462956
218	0.541928825
219	0.5418862942
220	0.5418391573
221	0.5418061343
222	0.5417728262
223	0.5417175407
224	0.5416746817
225	0.5416305045
226	0.5415852593
227	0.5415424356
228	0.5414828855
229	0.5414251513
230	0.5413560754
231	0.5413099576
232	0.5412643799
233	0.5412359041
234	0.5411887215
235	0.5411415287
236	0.5411119388
237	0.5410575097
238	0.5410130093
239	0.5409602426
240	0.5408989809
241	0.5408597285
242	0.5408135962
243	0.540735826
244	0.5407066722
245	0.5406680711
246	0.5406235922
247	0.5405801661
248	0.5405478502
249	0.540496087
250	0.5404461353
251	0.5403988757
252	0.540363007
253	0.5403128509
254	0.5402706881
255	0.5402239933
256	0.5401633775
257	0.540115306
258	0.5400694124
259	0.5400430645
260	0.5400287174
261	0.5399851061
262	0.5399457914
263	0.5399009144
264	0.5398632687
265	0.5398254065
266	0.5397850633
267	0.539734949
268	0.5396897017
269	0.5396510849
270	0.5396096961
271	0.5395717669
272	0.5395303057
273	0.539510415
274	0.5394789373
275	0.5394566675
276	0.5394369432
277	0.5393888782
278	0.5393375404
279	0.539312195
280	0.5392627339
281	0.539223354
282	0.539187388
283	0.5391508245
284	0.5391199173
285	0.5390876677
286	0.5390353021
287	0.5389583939
288	0.5389270375
289	0.5388908656
290	0.5388677301
291	0.5388318261
292	0.5388000392
293	0.5387674991
294	0.5387202081
295	0.5386729545
296	0.5385897415
297	0.5385367566
298	0.5384803143
299	0.5384420003
300	0.5384087603
301	0.5383682472
302	0.5383245048
303	0.538263683
304	0.5382117258
305	0.5381681679
306	0.5381257493
307	0.5381011737
308	0.5380329105
309	0.5379790358
310	0.5379172311
311	0.5378742338
312	0.5377940244
313	0.5377670054
314	0.5377397246
315	0.5377142038
316	0.5376673994
317	0.5376368888
318	0.537594271
319	0.5375518647
320	0.5374847413
321	0.5374291343
322	0.5373785457
323	0.5373087413
324	0.5372596691
325	0.537187369
326	0.5371500869
327	0.5371213903
328	0.5370745017
329	0.5370160772
330	0.5369786606
331	0.5368993665
332	0.5368443681
333	0.536762717
334	0.5367165686
335	0.5366833166
336	0.5366497447
337	0.5366019387
338	0.5365409638
339	0.5365026557
340	0.5364621985
341	0.5364533898
342	0.536418153
343	0.5363780961
344	0.5363181683
345	0.5362933536
346	0.5362434635
347	0.5362172782
348	0.5361515734
349	0.5361052984
350	0.5360391378
351	0.5360082744
352	0.5359454075
353	0.5358970053
354	0.5358387678
355	0.5358050032
356	0.5357535988
357	0.5357167589
358	0.5356838941
359	0.5356463996
360	0.5356114629
361	0.5355461805
362	0.5355046827
363	0.5354517117
364	0.5354085886
365	0.5353658366
366	0.5353266239
367	0.5352743977
368	0.535247628
369	0.5351858763
370	0.5351499429
371	0.5350568184
372	0.5350302404
373	0.5349777712
374	0.5349556288
375	0.5349158641
376	0.5348564282
377	0.5348387441
378	0.5347650989
379	0.5347271892
380	0.5346719823
381	0.5345877134
382	0.5345498365
383	0.5344912212
384	0.5344405394
385	0.5343990778
386	0.5343718584
387	0.5343307883
388	0.5342940459
389	0.5342610039
390	0.5342339152
391	0.5341940066
392	0.534146931
393	0.5341024915
394	0.5340416779
395	0.533975643
396	0.5339307239
397	0.533889505
398	0.5338558029
399	0.533807296
400	0.5337281679
401	0.5336723039
402	0.5336268762
403	0.5335934932
404	0.5335574348
405	0.5335494482
406	0.5335122366
407	0.5334781261
408	0.5334538018
409	0.5333830557
410	0.5333398445
411	0.5332866404
412	0.5332557027
413	0.5332157307
414	0.5331732534
415	0.5331320349
416	0.5331178463
417	0.5330622685
418	0.5330173363
419	0.532973612
420	0.5329289491
421	0.5328415699
422	0.5328175409
423	0.5327682739
424	0.5327149041
425	0.5326924197
426	0.5326538724
427	0.5326108609
428	0.5325704784
429	0.5325354593
430	0.5324939819
431	0.532461422
432	0.5324154609
433	0.5324042418
434	0.5323885157
435	0.5323372788
436	0.5322795261
437	0.5322412804
438	0.5322059573
439	0.5321412971
440	0.5320976308
441	0.5320328973
442	0.5319983467
443	0.531963421
444	0.5319258451
445	0.5318968989
446	0.5318583383
447	0.531806216
448	0.5317802929
449	0.5317511087
450	0.531722648
451	0.531661606
452	0.5316409757
453	0.531577475
454	0.531545486
455	0.5314960867
456	0.5314593803
457	0.5314006101
458	0.5313661602
459	0.5313571025
460	0.5313219164
461	0.5312867842
462	0.5312700147
463	0.5312238662
464	0.531191834
465	0.5311369905
466	0.5310897446
467	0.5310434106
468	0.5309884119
469	0.5309334513
470	0.5308871984
471	0.5308312864
472	0.5307993864
473	0.5307499413
474	0.5307412247
475	0.5306883321
476	0.5306488804
477	0.5306270489
478	0.5305859312
479	0.5305168269
480	0.5304838002
481	0.5304329568
482	0.5303906696
483	0.5303688244
484	0.5303423304
485	0.5302943318
486	0.5302450195
487	0.5301739704
488	0.53013215
489	0.5301089985
490	0.5300760983
491	0.5300317672
492	0.5299835996
493	0.5299157486
494	0.5298654401
495	0.5298352679
496	0.5297818538
497	0.5297153876
498	0.529676403
499	0.5296724935
500	0.5296035769
501	0.5295500495
502	0.5294837261
503	0.5294461464
504	0.5294036493
505	0.529337881
506	0.5293120564
507	0.529306109
508	0.5292822052
509	0.5292243158
510	0.5291790648
511	0.5291378685
512	0.5291066597
513	0.5290726656
514	0.5290309978
515	0.5289803854
516	0.5289380179
517	0.5288532175
518	0.528795816
519	0.5287408512
520	0.5287126192
521	0.5286550264
522	0.5285947782
523	0.5285418867
524	0.5285020803
525	0.5284718394
526	0.528429571
527	0.5283907876
528	0.528329288
529	0.5283120354
530	0.528272209
531	0.5282414636
532	0.5281984151
533	0.5281460435
534	0.5280719667
535	0.5280247228
536	0.5279666928
537	0.5279439543
538	0.5278927113
539	0.5278522347
540	0.5278407439
541	0.5278046298
542	0.5277757304
543	0.5277538076
544	0.5277157859
545	0.5276597341
546	0.5276276945
547	0.527581984
548	0.5275789339
549	0.5275192605
550	0.5274794688
551	0.5274581389
552	0.5274240163
553	0.5273866244
554	0.5273262897
555	0.5272757785
556	0.5272409142
557	0.5272212395
558	0.5271683071
559	0.5271328487
560	0.5271091906
561	0.5270531922
562	0.5270188439
563	0.526964083
564	0.5269195176
565	0.5268803833
566	0.5268324893
567	0.526804552
568	0.5267807697
569	0.5267407125
570	0.5267065909
571	0.5266465597
572	0.526605114
573	0.5265932632
574	0.5265547601
575	0.5265142679
576	0.5264481849
577	0.5264190828
578	0.5263687155
579	0.5263071475
580	0.5262617698
581	0.5262391769
582	0.5261832134
583	0.5261395905
584	0.5261115431
585	0.526082192
586	0.5260536724
587	0.5260106752
588	0.5259578256
589	0.5259148369
590	0.5258890889
591	0.5258649592
592	0.5258154589
593	0.5257896898
594	0.5257361004
595	0.5257233819
596	0.5256850148
597	0.5256550161
598	0.5255867493
599	0.5255715993
600	0.525545485
601	0.525514168
602	0.5254954286
603	0.5254540741
604	0.5254115614
605	0.525379668
606	0.5253472943
607	0.5252953972
608	0.5252692142
609	0.5252252796
610	0.5251809469
611	0.5251489467
612	0.5251029839
613	0.5250600648
614	0.525005063
615	0.5249612761
616	0.5249157591
617	0.5248622965
618	0.5248332294
619	0.5247829974
620	0.5247311094
621	0.524713375
622	0.5246666216
623	0.5246293837
624	0.5245913674
625	0.5245526361
626	0.5245197412
627	0.5244971837
628	0.524453442
629	0.5244018668
630	0.5243753448
631	0.5243431265
632	0.5242903933
633	0.5242517959
634	0.5241893828
635	0.5241204731
636	0.5240873199
637	0.5240535373
638	0.5240430316
639	0.5240033208
640	0.5239689956
641	0.523937335
642	0.5239102213
643	0.5238816104
644	0.5238471902
645	0.5238113222
646	0.5237542661
647	0.523720793
648	0.5236894303
649	0.523655462
650	0.5236061025
651	0.5235897451
652	0.5235483175
653	0.5235090227
654	0.5234601201
655	0.5234005454
656	0.5233625624
657	0.5233125962
658	0.5232792117
659	0.5232179695
660	0.5231757107
661	0.5231156615
662	0.5230613482
663	0.5230260683
664	0.5229929114
665	0.5229696972
666	0.5229363912
667	0.5228980485
668	0.522871473
669	0.5228297923
670	0.5227956052
671	0.5227490145
672	0.5227318286
673	0.5227282728
674	0.5226938821
675	0.5226728535
676	0.5226351893
677	0.5226017315
678	0.5225506778
679	0.5225216641
680	0.522480584
681	0.5224514416
682	0.5224290123
683	0.5223910533
684	0.5223731116
685	0.522297553
686	0.5222454294
687	0.5222204366
688	0.5221998672
689	0.5221418765
690	0.5221001493
691	0.5220591761
692	0.5220296877
693	0.5219947719
694	0.5219546145
695	0.5219282013
696	0.521885324
697	0.5218696541
698	0.5218064226
699	0.521772641
700	0.521734709
701	0.5217081178
702	0.5216720336
703	0.5216514662
704	0.5215939365
705	0.5215466335
706	0.5215318733
707	0.5215041369
708	0.5214701621
709	0.5214547944
710	0.5214175305
711	0.5213571219
712	0.5213336628
713	0.5213126369
714	0.5212702293
715	0.521234271
716	0.5211918218
717	0.5211326349
718	0.5211163172
719	0.5210492986
720	0.5210148169
721	0.5209838767
722	0.5209444014
723	0.5208855333
724	0.5208114475
725	0.5207918676
726	0.5207497833
727	0.520730468
728	0.5206939229
729	0.5206620763
730	0.5206097443
731	0.5205902079
732	0.5205418698
733	0.5205024287
734	0.520470177
735	0.5204440265
736	0.5203835958
737	0.5203324977
738	0.5203207359
739	0.5202822551
740	0.5202510025
741	0.5201999507
742	0.5201803355
743	0.5201339254
744	0.5201048255
745	0.5200693361
746	0.5200313264
747	0.5200154975
748	0.5199854949
749	0.5199328263
750	0.5198720782
751	0.5198190417
752	0.5197811711
753	0.5197569372
754	0.5197192492
755	0.5196958431
756	0.5196506868
757	0.5196149996
758	0.5195904613
759	0.5195617251
760	0.5194989311
761	0.5194749955
762	0.5194435483
763	0.5193953161
764	0.5193666018
765	0.5193541043
766	0.5193237746
767	0.5192828593
768	0.519240855
769	0.5191829869
770	0.5191773042
771	0.5191442413
772	0.5190796751
773	0.5190359681
774	0.5189959278
775	0.518948717
776	0.518917178
777	0.5188674719
778	0.5188248492
779	0.5187895007
780	0.5187471021
781	0.5187081544
782	0.5186818353
783	0.5186340299
784	0.5185944705
785	0.5185437068
786	0.5185122687
787	0.5184807996
788	0.5184537679
789	0.5184271114
790	0.5183693456
791	0.5183373047
792	0.5182868762
793	0.5182423091
794	0.518200457
795	0.5181516821
796	0.5181095365
797	0.5180754254
798	0.5180491625
799	0.5180343566
800	0.5179805189
801	0.5179504552
802	0.5179279796
803	0.5178843668
804	0.5178443999
805	0.517814434
806	0.5177812189
807	0.5177501097
808	0.5177134256
809	0.5176665343
810	0.5176459948
811	0.517614645
812	0.5175941601
813	0.5175842842
814	0.5175579701
815	0.5175123987
816	0.5174794617
817	0.5174459403
818	0.5174229617
819	0.5174076009
820	0.5173598192
821	0.5173349001
822	0.5173004635
823	0.5172717406
824	0.5172436581
825	0.517210399
826	0.5171741986
827	0.5171178956
828	0.5170899893
829	0.5170733825
830	0.5169875597
831	0.5169606217
832	0.5169216262
833	0.5168766132
834	0.5168551518
835	0.516835969
836	0.5168014951
837	0.5167714959
838	0.5167573267
839	0.5167398323
840	0.5167162157
841	0.5166987384
842	0.5166594367
843	0.5166214904
844	0.5165629115
845	0.5165233585
846	0.5164917269
847	0.5164600122
848	0.5164184954
849	0.5163704793
850	0.5163469832
851	0.5163297487
852	0.516307399
853	0.5162611647
854	0.5162374328
855	0.5162238802
856	0.5162034361
857	0.5161588646
858	0.5161196013
859	0.5160955234
860	0.5160530524
861	0.5160296515
862	0.5160084021
863	0.5159797355
864	0.5159442557
865	0.5158915977
866	0.5158547584
867	0.5158317445
868	0.5157839015
869	0.5157478826
870	0.5157141598
871	0.5156801174
872	0.5156122652
873	0.5155763405
874	0.5155546384
875	0.5155281107
876	0.5155000341
877	0.5154586899
878	0.5154022751
879	0.5153527584
880	0.515311496
881	0.5152716559
882	0.5152370927
883	0.5151932868
884	0.5151677015
885	0.5151641139
886	0.5151285247
887	0.5150928746
888	0.5150647534
889	0.5149986339
890	0.5149672134
891	0.5149512952
892	0.5149245854
893	0.5148714849
894	0.5148614219
895	0.5148270423
896	0.514780832
897	0.5147446179
898	0.5147228753
899	0.5147161758
900	0.5146794835
901	0.5146330761
902	0.5145873211
903	0.5145534611
904	0.5145343588
905	0.5145054634
906	0.5144697839
907	0.5144155436
908	0.5143787448
909	0.5143394572
910	0.5143103555
911	0.5142847412
912	0.5142497318
913	0.5142196187
914	0.5141599267
915	0.5141186435
916	0.5140939507
917	0.5140699528
918	0.5140335675
919	0.513999912
920	0.5139851327
921	0.5139634977
922	0.5139387424
923	0.5139086209
924	0.5138621722
925	0.5138333547
926	0.5137988869
927	0.513763628
928	0.5137378889
929	0.5137250315
930	0.5136744677
931	0.5136350387
932	0.5136091741
933	0.5135815541
934	0.5135695749
935	0.5135173364
936	0.5134939993
937	0.5134658436
938	0.5134295836
939	0.5134096732
940	0.513373748
941	0.5133525147
942	0.5133206966
943	0.5132779094
944	0.5132555351
945	0.5132407425
946	0.5132191015
947	0.5131925521
948	0.5131879789
949	0.513173434
950	0.513136857
951	0.5130996387
952	0.5130764813
953	0.5130223401
954	0.5129871514
955	0.5129502398
956	0.5129101057
957	0.5128508356
958	0.5128310686
959	0.5127600363
960	0.5127293245
961	0.5126812194
962	0.5126612004
963	0.5126473768
964	0.5126185358
965	0.5125793581
966	0.5125560382
967	0.5125340331
968	0.512508733
969	0.5124635766
970	0.5124334146
971	0.5124215316
972	0.512404343
973	0.512378405
974	0.5123466354
975	0.5123049246
976	0.5122823995
977	0.5122603374
978	0.512224789
979	0.5121839561
980	0.5121674777
981	0.5121376575
982	0.5120912695
983	0.5120586557
984	0.5120243155
985	0.5119625393
986	0.5119378537
987	0.5119025161
988	0.5118887789
989	0.5118661608
990	0.5118398029
991	0.5118074476
992	0.511792215
993	0.5117692207
994	0.5117274892
995	0.5116707548
996	0.5116424838
997	0.5116302351
998	0.5115979983
999	0.5115736492
999	0.5099378003
