iter	Passed	Remaining
564	14924	11490
565	14951	11464
566	14978	11438
567	15001	11409
568	15037	11390
569	15076	11373
570	15111	11353
571	15145	11332
572	15190	11320
573	15210	11288
574	15238	11263
575	15261	11234
576	15285	11206
577	15313	11180
578	15345	11157
579	15371	11131
580	15394	11101
581	15414	11070
582	15436	11041
583	15458	11011
584	15476	10979
585	15507	10956
586	15535	10930
587	15556	10899
588	15583	10874
589	15608	10846
590	15635	10820
591	15658	10792
592	15684	10764
593	15704	10734
594	15724	10702
595	15744	10672
596	15766	10643
597	15787	10613
598	15812	10585
599	15835	10556
600	15856	10527
601	15879	10498
602	15906	10472
603	15929	10443
604	15955	10416
605	15978	10388
606	16003	10361
607	16026	10332
608	16045	10301
609	16067	10272
610	16092	10245
611	16117	10218
612	16143	10191
613	16168	10164
614	16196	10139
615	16229	10117
616	16254	10089
617	16281	10063
618	16300	10033
619	16323	10005
620	16353	9980
621	16378	9953
622	16400	9924
623	16424	9896
624	16449	9869
625	16475	9843
626	16498	9814
627	16521	9786
628	16546	9759
629	16567	9730
630	16589	9701
631	16615	9674
632	16642	9648
633	16662	9619
634	16687	9591
635	16722	9570
636	16749	9545
637	16778	9520
638	16804	9493
639	16831	9467
640	16850	9437
641	16874	9409
642	16897	9381
643	16920	9353
644	16945	9326
645	16974	9301
646	16992	9271
647	17019	9245
648	17039	9215
649	17066	9189
650	17086	9159
651	17109	9131
652	17137	9106
653	17162	9079
654	17192	9055
655	17216	9028
656	17237	8999
657	17266	8974
658	17289	8946
659	17309	8917
660	17330	8888
661	17352	8859
662	17377	8832
663	17396	8803
664	17423	8777
665	17446	8749
666	17470	8722
667	17494	8694
668	17528	8672
669	17552	8645
670	17573	8616
671	17597	8589
672	17622	8562
673	17639	8531
674	17666	8505
675	17692	8480
676	17715	8451
677	17738	8424
678	17765	8398
679	17790	8371
680	17813	8344
681	17837	8317
682	17862	8290
683	17883	8261
684	17912	8237
685	17936	8209
686	17954	8180
687	17973	8150
688	17999	8124
689	18024	8098
690	18046	8069
691	18065	8040
692	18091	8014
693	18116	7987
694	18136	7958
695	18157	7931
696	18180	7903
697	18203	7876
698	18229	7850
699	18253	7822
700	18278	7796
701	18299	7768
702	18321	7740
703	18346	7713
704	18369	7686
705	18394	7659
706	18414	7631
707	18433	7602
708	18457	7575
709	18499	7556
710	18543	7537
711	18569	7511
712	18605	7489
713	18630	7462
714	18663	7439
715	18691	7413
716	18722	7389
717	18749	7363
718	18775	7337
719	18801	7311
720	18829	7286
721	18857	7261
722	18878	7232
723	18900	7205
724	18919	7176
725	18948	7151
726	18974	7125
727	18995	7097
728	19017	7069
729	19042	7043
730	19071	7017
731	19096	6991
732	19124	6966
733	19147	6938
734	19196	6921
735	19228	6897
736	19258	6872
737	19299	6851
738	19332	6827
739	19364	6803
740	19391	6777
741	19415	6751
742	19442	6725
743	19467	6698
744	19493	6672
745	19520	6646
746	19544	6619
747	19570	6593
748	19596	6567
749	19619	6539
750	19643	6513
751	19669	6486
752	19692	6459
753	19712	6431
754	19740	6405
755	19770	6380
756	19802	6356
757	19827	6330
758	19851	6303
759	19872	6275
760	19899	6249
761	19923	6222
762	19955	6198
763	19989	6174
764	20017	6149
765	20056	6126
766	20089	6102
767	20121	6078
768	20149	6052
769	20169	6024
770	20191	5997
771	20222	5972
772	20251	5947
773	20273	5919
774	20300	5893
775	20335	5870
776	20360	5843
777	20387	5817
778	20416	5792
779	20440	5765
780	20463	5738
781	20487	5711
782	20510	5684
783	20532	5656
784	20560	5631
785	20588	5605
786	20612	5578
787	20638	5552
788	20663	5525
789	20688	5499
790	20719	5474
791	20744	5447
792	20772	5422
793	20801	5396
794	20820	5368
795	20847	5342
796	20869	5315
797	20892	5288
798	20915	5261
799	20941	5235
800	20967	5209
801	20991	5182
802	21016	5156
803	21041	5129
804	21067	5103
805	21096	5077
806	21118	5050
807	21142	5023
808	21164	4996
809	21193	4971
810	21218	4944
811	21240	4917
812	21264	4891
813	21294	4865
814	21316	4838
815	21349	4814
816	21372	4787
817	21395	4760
818	21417	4733
819	21443	4707
820	21472	4681
821	21494	4654
822	21514	4626
823	21536	4600
824	21556	4572
825	21577	4545
826	21599	4518
827	21625	4492
828	21646	4465
829	21663	4437
830	21693	4411
831	21713	4384
832	21737	4357
833	21757	4330
834	21779	4303
835	21807	4278
836	21834	4252
837	21855	4224
838	21874	4197
839	21890	4169
840	21914	4143
841	21935	4116
842	21956	4089
843	21978	4062
844	22005	4036
845	22029	4010
846	22050	3983
847	22075	3956
848	22093	3929
849	22119	3903
850	22138	3876
851	22160	3849
852	22186	3823
853	22208	3796
854	22232	3770
855	22255	3743
856	22276	3717
857	22297	3690
858	22324	3664
859	22353	3638
860	22386	3614
861	22408	3587
862	22426	3560
863	22449	3533
864	22476	3507
865	22501	3481
866	22523	3455
867	22553	3429
868	22572	3402
869	22599	3376
870	22623	3350
871	22650	3324
872	22674	3298
873	22701	3272
874	22728	3246
875	22751	3220
876	22783	3195
877	22813	3170
878	22840	3144
879	22862	3117
880	22889	3091
881	22912	3065
882	22956	3041
883	23002	3018
884	23029	2992
885	23070	2968
886	23155	2949
887	23201	2926
888	23270	2905
889	23318	2882
890	23351	2856
891	23384	2831
892	23413	2805
893	23448	2780
894	23480	2754
895	23513	2729
896	23547	2703
897	23581	2678
898	23615	2653
899	23647	2627
900	23679	2601
901	23703	2575
902	23730	2549
903	23751	2522
904	23775	2495
905	23796	2469
906	23818	2442
907	23845	2416
908	23867	2389
909	23886	2362
910	23911	2336
911	23937	2309
912	23962	2283
913	23984	2256
914	24007	2230
915	24027	2203
916	24048	2176
917	24072	2150
918	24098	2124
919	24141	2099
920	24172	2073
921	24192	2046
922	24208	2019
923	24226	1992
924	24242	1965
925	24257	1938
926	24338	1916
927	24367	1890
928	24393	1864
929	24413	1837
930	24436	1811
931	24458	1784
932	24481	1758
933	24504	1731
934	24526	1705
935	24548	1678
936	24572	1652
937	24595	1625
938	24619	1599
939	24644	1573
940	24675	1547
941	24701	1520
942	24728	1494
943	24758	1468
944	24784	1442
945	24816	1416
946	24841	1390
947	24867	1364
948	24888	1337
949	24914	1311
950	24937	1284
951	24964	1258
952	24986	1232
953	25014	1206
954	25039	1179
955	25059	1153
956	25079	1126
957	25107	1100
958	25123	1074
959	25144	1047
960	25163	1021
961	25187	994
962	25205	968
963	25223	941
964	25242	915
965	25258	889
966	25279	862
967	25293	836
968	25316	809
969	25334	783
970	25351	757
971	25370	730
972	25387	704
973	25407	678
974	25423	651
975	25442	625
976	25460	599
977	25479	573
978	25510	547
979	25536	521
980	25560	495
981	25578	468
982	25598	442
983	25620	416
984	25637	390
985	25657	364
986	25679	338
987	25709	312
988	25730	286
989	25749	260
990	25771	234
991	25790	207
992	25809	181
993	25833	155
994	25859	129
995	25880	103
996	25900	77
997	25920	51
998	25941	25
999	25962	0
